name,description,color,lat,lon
Αψίδα Γαλερίου (Καμάρα),Το γνωστότερο σημείο συνάντησης των Θεσαλλονικιών.,blue,40.632171, 22.951800
Παναγία Δέξια, Φημισμένη εκκλησία στο κέντρο της Θεσσαλονίκης.,red,40.631904, 22.952649
Μαρμάρινο Συντριβάνι, Στο συντριβάνι αυτό ξεδιψούσαν τα άλογα μετά το μεγάλο και κοπιαστικό ταξίδι προς την Θεσσαλονίκη.,green, 40.630901, 22.953333
